path	baseline_path	kind	classification	cmake_selection	current_sha256	baseline_sha256	canonical_current_sha256	canonical_baseline_sha256	disposition
src/core/softpc/base/bios/bootstra.c	base/bios/bootstra.c	source-or-header	identical-original	literal-reference	656c7feada15fda95476beb8f099453c79edfe75b75c49b3aadbf23a89ef3f05	656c7feada15fda95476beb8f099453c79edfe75b75c49b3aadbf23a89ef3f05	292f700c462e46bd2b7c392a2efb0bb35796b02da57fe1cf542b59f84d8c5780	292f700c462e46bd2b7c392a2efb0bb35796b02da57fe1cf542b59f84d8c5780	retain-pristine
src/core/softpc/base/bios/build_id.c	base/bios/build_id.c	source-or-header	identical-original	literal-reference	9ff03f58980437d69cf245e18907ed5e5f4760622d90c870c617e410eeafd6e4	9ff03f58980437d69cf245e18907ed5e5f4760622d90c870c617e410eeafd6e4	d309bf98e84a58ed32ceff4ffd87a8322120f2d56f73c6811242cffb6337dc22	d309bf98e84a58ed32ceff4ffd87a8322120f2d56f73c6811242cffb6337dc22	retain-pristine
src/core/softpc/base/bios/cmos_bis.c	base/bios/cmos_bis.c	source-or-header	identical-original	literal-reference	e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd	e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd	c3107578e119c2a6350d5381e0ac5ede8d55581f38efd6a874554063ec4a6395	c3107578e119c2a6350d5381e0ac5ede8d55581f38efd6a874554063ec4a6395	retain-pristine
src/core/softpc/base/bios/equipmnt.c	base/bios/equipmnt.c	source-or-header	direct-original-diff	literal-reference	1721fe54bb969ae6db4a615379107a314a20f75e5dfc3bd6ed90504bb40d96f5	08b798882c49443b2641ebf091adf07959059d46bc703467d860ab22659f2967	73818fb9285914edf9ef1610c2e1ffea8b3cc70e96150b5729ae388d40db556c	bb78b1bd2d67bf288113a31af4d1c9bf5d05263933d6433a7254787f2341ee2e	overlay
src/core/softpc/base/bios/mem_size.c	base/bios/mem_size.c	source-or-header	identical-original	literal-reference	2e8937e8fc10fbc69425692fb8b127b20e786fae37fd453049b62dd0472c9e8f	2e8937e8fc10fbc69425692fb8b127b20e786fae37fd453049b62dd0472c9e8f	1fbd247ef9e88a1defb9f9791cec1c5bc4d378484de56db1dca67db57ec30519	1fbd247ef9e88a1defb9f9791cec1c5bc4d378484de56db1dca67db57ec30519	retain-pristine
src/core/softpc/base/bios/reset.c	base/bios/reset.c	source-or-header	direct-original-diff	literal-reference	c1339261bf9272cec4610448ef42d808c6b10bef8a2d5a06940aa76343e9f084	46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b	5415acc0907b17a138d3564ded86732f9677d9b32607245f7e6972d1a3af90d1	65b753ed5da6a3a1c281c92e783371ed276ccabdf4e73296a36670052f4f3fa7	overlay
src/core/softpc/base/bios/rom_basc.c	base/bios/rom_basc.c	source-or-header	identical-original	literal-reference	2e6f1783fcb3695443ab0a3a6fcb5dbf2bd3e2e7905217cd61021e031a8a709a	2e6f1783fcb3695443ab0a3a6fcb5dbf2bd3e2e7905217cd61021e031a8a709a	60f6afc905771c295cd0842525b99b0bea04ed1b69379a6425a53425cd486e9a	60f6afc905771c295cd0842525b99b0bea04ed1b69379a6425a53425cd486e9a	retain-pristine
src/core/softpc/base/bios/slave_bs.c	base/bios/slave_bs.c	source-or-header	identical-original	literal-reference	22079cb4c1e033f1d33246da6f60f8d5e1bba5c925ee3e9e5ea3c3fd756c7368	22079cb4c1e033f1d33246da6f60f8d5e1bba5c925ee3e9e5ea3c3fd756c7368	92d92595002dd3d9d962708731e6f3fffdc9476afcf705626671ee7fcd387bc6	92d92595002dd3d9d962708731e6f3fffdc9476afcf705626671ee7fcd387bc6	retain-pristine
src/core/softpc/base/bios/tape_io.c	base/bios/tape_io.c	source-or-header	direct-original-diff	literal-reference	9999cdf5bb5a16aae4e7d77a65793a2b05fdbd3a2bf46691597bf49bfb25c814	3aa86f1faf07f68937629f1d6e410eb41f498e17dc6d747647c7d6e5697c80aa	0470a681b6e2c90ec69e78869a2db1f83975a477834a6f920e184ee5755815a0	bf9f738aa89a164aeae1b618fb7e21ad920628baa8138f38f71161f18fab9cc7	overlay
src/core/softpc/base/ccpu386/aaa.c	base/ccpu386/aaa.c	source-or-header	identical-original	ccpu-manifest	43583535e19a181d7a4c665c5fba5c00109eb1079b65d462f2b8a3d92ce2c052	43583535e19a181d7a4c665c5fba5c00109eb1079b65d462f2b8a3d92ce2c052	72eb858993f20b268960007f50aba1da10ceb3a19a3e55e808fba3cc98da705c	72eb858993f20b268960007f50aba1da10ceb3a19a3e55e808fba3cc98da705c	retain-pristine
