old_path	current_path	baseline_path	classification	t14_disposition	initial_t16_owner	cmake_selection	current_exists
src/core/softpc_device_bop.c	src/core/softpc_device_bop.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/core/softpc_gfi_image.c	src/core/softpc_gfi_image.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/core/softpc_machine.c	src/core/softpc_machine.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/core/softpc_machine.h	src/core/softpc_machine.h	-	local-standalone	host	host-pending-T17	not-directly-selected	true
src/core/softpc_standalone_dib.c	src/core/softpc_standalone_dib.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/core/softpc_standalone_platform.c	src/core/softpc_standalone_platform.c	-	local-standalone	host	host-pending-T17	literal-reference	true
src/core/softpc_xms_host.c	src/core/softpc_xms_host.c	-	local-standalone	remove-unselected	host-pending-T17	not-directly-selected	true
src/core/softpc-port-abi/ccpu/softpc_ccpu_lifecycle.c	src/core/softpc-port-abi/ccpu/softpc_ccpu_lifecycle.c	-	local-standalone	overlay	compat-review	literal-reference	true
src/core/softpc-port-abi/ccpu/softpc_ccpu_lifecycle.h	src/core/softpc-port-abi/ccpu/softpc_ccpu_lifecycle.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/cmos/softpc_cmos_host.h	src/core/softpc-port-abi/cmos/softpc_cmos_host.h	-	local-standalone	overlay	compat-review	literal-reference	true
src/core/softpc-port-abi/cvidc/softpc_gdp_rule_access.h	src/core/softpc-port-abi/cvidc/softpc_gdp_rule_access.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/cvidc/softpc_gdp_slots.h	src/core/softpc-port-abi/cvidc/softpc_gdp_slots.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/cvidc/softpc_gdp_state.c	src/core/softpc-port-abi/cvidc/softpc_gdp_state.c	-	local-standalone	overlay	compat-review	literal-reference	true
src/core/softpc-port-abi/cvidc/softpc_gdp_state.h	src/core/softpc-port-abi/cvidc/softpc_gdp_state.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/illegalp/error.h	src/core/softpc-port-abi/illegalp/error.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/keyba/cpu4.h	src/core/softpc-port-abi/keyba/cpu4.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/reset/host_def.h	src/core/softpc-port-abi/reset/host_def.h	-	local-standalone	overlay	compat-review	literal-reference	true
src/core/softpc-port-abi/xms/mvdm.h	src/core/softpc-port-abi/xms/mvdm.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc-port-abi/xms/softpc.h	src/core/softpc-port-abi/xms/softpc.h	-	local-standalone	overlay	compat-review	not-directly-selected	true
src/core/softpc/base/bios/equipmnt.c	src/mvdm/softpc.new/base/bios/equipmnt.c	base/bios/equipmnt.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/bios/reset.c	src/mvdm/softpc.new/base/bios/reset.c	base/bios/reset.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/bios/tape_io.c	src/mvdm/softpc.new/base/bios/tape_io.c	base/bios/tape_io.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/ccpu386/c_main.c	src/mvdm/softpc.new/base/ccpu386/c_main.c	base/ccpu386/c_main.c	direct-original-diff	overlay	recovered-machine-review	literal-reference	true
src/core/softpc/base/ccpu386/evid_c.h	src/mvdm/softpc.new/base/ccpu386/evid_c.h	base/ccpu386/evid_c.h	direct-original-diff	overlay	recovered-machine-review	not-directly-selected	true
